<abingdon:FastEthernet0/0, bristol:FastEthernet0/0>
<arlington:FastEthernet0/1, bainbride:FastEthernet0/0>
<ashburn:FastEthernet0/0, culpeper:FastEthernet0/0>
<ashburn:FastEthernet0/1, leesburg:FastEthernet0/0>
<ashburn:FastEthernet1/0, washingtonttdc:FastEthernet0/0>
<ashland:FastEthernet0/0, huntington:FastEthernet0/0>
<ashland:FastEthernet0/1, morehead:FastEthernet0/0>
<ashland:FastEthernet1/0, portsmouth:FastEthernet0/0>
<ashtabula:FastEthernet0/0, eastlake:FastEthernet0/0>
<ashtabula:FastEthernet0/1, erie:FastEthernet0/0>
<athens:FastEthernet0/0, logan:FastEthernet0/0>
<athens:FastEthernet0/1, mariettaid567:FastEthernet0/0>
<athens:FastEthernet1/0, ravenswood:FastEthernet0/0>
<athensid279:FastEthernet0/0, nodeid345:FastEthernet0/0>
<athensid279:FastEthernet0/1, nodeid64:FastEthernet0/0>
<athensid283:FastEthernet0/0, huntsville:FastEthernet0/0>
<athensid283:FastEthernet0/1, rogersville:FastEthernet0/0>
<athensid517:FastEthernet0/0, dallas:FastEthernet0/0>
<athensid517:FastEthernet0/1, tyler:FastEthernet0/0>
<atlanta:FastEthernet0/0, mineola:FastEthernet0/0>
<atlanta:FastEthernet0/1, texarkana:FastEthernet0/0>
<atlantaid697:FastEthernet0/0, bremen:FastEthernet0/0>
<atlantaid697:FastEthernet0/1, dunwoody:FastEthernet0/0>
<atlantaid697:FastEthernet1/0, griffin:FastEthernet0/0>
<atlantaid697:FastEthernet1/1, smyrna:FastEthernet0/0>
<auburn:FastEthernet0/0, decatur:FastEthernet0/0>
<auburn:FastEthernet0/1, kendalville:FastEthernet0/0>
<auburnid467:FastEthernet0/0, eufaula:FastEthernet0/0>
<auburnid467:FastEthernet0/1, tuskagee:FastEthernet0/1>
<auburnid467:FastEthernet1/0, westttpoint:FastEthernet0/0>
<augusta:FastEthernet0/0, allendale:FastEthernet0/0>
<augusta:FastEthernet0/1, johnston:FastEthernet0/0>
<aurora:FastEthernet0/0, dettkalb:FastEthernet0/0>
<aurora:FastEthernet0/1, elgin:FastEthernet0/0>
<aurora:FastEthernet1/0, naperville:FastEthernet0/0>
<austin:FastEthernet0/0, albertttlea:FastEthernet0/0>
<austin:FastEthernet0/1, rochester:FastEthernet0/0>
<austinid598:FastEthernet0/0, georgetown:FastEthernet0/0>
<austinid598:FastEthernet0/1, santtmarcos:FastEthernet0/0>
<bainbride:FastEthernet0/0, arlington:FastEthernet0/1>
<bainbride:FastEthernet0/1, tallahassee:FastEthernet0/0>
<baldwin:FastEthernet0/0, jacksonvilleid684:FastEthernet0/0>
<baldwin:FastEthernet0/1, lakettcity:FastEthernet0/0>
<baltimore:FastEthernet0/0, elktor:FastEthernet0/0>
<baltimore:FastEthernet0/1, washingtonttdc:FastEthernet0/1>
<baraboo:FastEthernet0/0, reedburg:FastEthernet0/0>
<baraboo:FastEthernet0/1, sunttprarie:FastEthernet0/0>
<barbourville:FastEthernet0/0, corbin:FastEthernet0/0>
<barbourville:FastEthernet0/1, manchesterid679:FastEthernet0/0>
<barbourville:FastEthernet1/0, penningtonttgap:FastEthernet0/0>
<barbourville:FastEthernet1/1, pineville:FastEthernet0/0>
<bardsdtown:FastEthernet0/0, louisville:FastEthernet0/0>
<bardsdtown:FastEthernet0/1, shelbyvilleid492:FastEthernet0/0>
<barnesville:FastEthernet0/0, griffin:FastEthernet0/1>
<barnesville:FastEthernet0/1, macon:FastEthernet0/0>
<barnesville:FastEthernet1/0, thomaston:FastEthernet0/0>
<bastrop:FastEthernet0/0, hamburg:FastEthernet0/0>
<batesville:FastEthernet0/0, cincinnati:FastEthernet0/0>
<batesville:FastEthernet0/1, greensburg:FastEthernet0/0>
<batonttrouge:FastEthernet0/0, lafayetteid536:FastEthernet0/0>
<batonttrouge:FastEthernet0/1, newttorleans:FastEthernet0/0>
<battlettcreek:FastEthernet0/0, jacksonid519:FastEthernet0/1>
<battlettcreek:FastEthernet0/1, kalamazoo:FastEthernet0/0>
<bayttcity:FastEthernet0/0, midland:FastEthernet0/0>
<bayttminette:FastEthernet0/0, mobile:FastEthernet0/0>
<bayttminette:FastEthernet0/1, repton:FastEthernet0/0>
<beaumont:FastEthernet0/0, lakettcharles:FastEthernet0/0>
<beaumont:FastEthernet0/1, liberty:FastEthernet0/0>
<beaumont:FastEthernet1/0, woodville:FastEthernet0/0>
<beaverttdam:FastEthernet0/0, elizabethtttown:FastEthernet0/0>
<beaverttdam:FastEthernet0/1, leitchfield:FastEthernet0/0>
<beaverttdamid344:FastEthernet0/0, fondttduttlac:FastEthernet0/0>
<beaverttdamid344:FastEthernet0/1, sunttprarie:FastEthernet0/1>
<beckley:FastEthernet0/0, charleston:FastEthernet0/0>
<beckley:FastEthernet0/1, glenttlyn:FastEthernet0/0>
<bedford:FastEthernet0/0, bloomington:FastEthernet0/0>
<bedford:FastEthernet0/1, mitchell:FastEthernet0/0>
<bedford:FastEthernet1/0, seymour:FastEthernet0/0>
<bellefontaine:FastEthernet0/0, nodeid600:FastEthernet0/0>
<belleville:FastEthernet0/0, centralia:FastEthernet0/0>
<belleville:FastEthernet0/1, collinsville:FastEthernet0/0>
<belleville:FastEthernet1/0, marissa:FastEthernet0/0>
<belleville:FastEthernet1/1, stttlouis:FastEthernet0/0>
<beloit:FastEthernet0/0, janesville:FastEthernet0/1>
<beloit:FastEthernet0/1, rockford:FastEthernet0/0>
<benton:FastEthernet0/0, paducah:FastEthernet0/0>
<bentonid267:FastEthernet0/0, mcleansboro:FastEthernet0/0>
<bentonid267:FastEthernet0/1, mtttvernon:FastEthernet0/0>
<bentonid267:FastEthernet1/0, westttfrankfort:FastEthernet0/0>
<bentonid610:FastEthernet0/0, hotttsprings:FastEthernet0/0>
<bentonid610:FastEthernet0/1, littlettrock:FastEthernet0/0>
<bentonttharbor:FastEthernet0/0, holland:FastEthernet0/0>
<bentonttharbor:FastEthernet0/1, niles:FastEthernet0/0>
<bentonville:FastEthernet0/0, neosho:FastEthernet0/0>
<bentonville:FastEthernet0/1, rogers:FastEthernet0/0>
<berea:FastEthernet0/0, richmondid293:FastEthernet0/0>
<berea:FastEthernet0/1, somerset:FastEthernet0/0>
<bereaid377:FastEthernet0/0, clevelandid403:FastEthernet0/0>
<bereaid377:FastEthernet0/1, newttlondonid380:FastEthernet0/0>
<bigttrapids:FastEthernet0/0, cadillac:FastEthernet0/0>
<bigttrapids:FastEthernet0/1, mountttpleasant:FastEthernet0/0>
<biloxi:FastEthernet0/0, gulfport:FastEthernet0/0>
<biloxi:FastEthernet0/1, pascagoula:FastEthernet0/0>
<birmingham:FastEthernet0/0, alabaster:FastEthernet0/0>
<birmingham:FastEthernet0/1, childersburg:FastEthernet0/1>
<birmingham:FastEthernet1/0, jasperid555:FastEthernet0/0>
<birmingham:FastEthernet1/1, pinson:FastEthernet0/0>
<birmingham:FastEthernet2/0, tuscaloosa:FastEthernet0/0>
<biscoe:FastEthernet0/0, littlettrock:FastEthernet0/1>
<biscoe:FastEthernet0/1, nodeid635:FastEthernet0/0>
<bloomington:FastEthernet0/0, bedford:FastEthernet0/0>
<bloomington:FastEthernet0/1, franklinid613:FastEthernet0/0>
<bloomington:FastEthernet1/0, martinsvilleid200:FastEthernet0/0>
<bloomington:FastEthernet1/1, owensburg:FastEthernet0/0>
<bloomingtonid740:FastEthernet0/0, champaign:FastEthernet0/0>
<bloomingtonid740:FastEthernet0/1, peoria:FastEthernet0/0>
<bluefield:FastEthernet0/0, glenttlyn:FastEthernet0/1>
<bluefield:FastEthernet0/1, richlands:FastEthernet0/0>
<bluefield:FastEthernet1/0, wytheville:FastEthernet0/1>
<boone:FastEthernet0/0, johnsonttcity:FastEthernet0/0>
<boone:FastEthernet0/1, lenoir:FastEthernet0/0>
<boonville:FastEthernet0/0, columbiaid120:FastEthernet0/0>
<boonville:FastEthernet0/1, sedalia:FastEthernet0/0>
<bowle:FastEthernet0/0, denton:FastEthernet0/0>
<bowle:FastEthernet0/1, wichitattfalls:FastEthernet0/0>
<bowlingttgreen:FastEthernet0/0, findlay:FastEthernet0/0>
<bowlingttgreen:FastEthernet0/1, toledo:FastEthernet0/1>
<bowlingttgreenid250:FastEthernet0/0, franklinid253:FastEthernet0/0>
<bowlingttgreenid250:FastEthernet0/1, morgantown:FastEthernet0/0>
<bowlingttgreenid250:FastEthernet1/0, nodeid210:FastEthernet0/0>
<boyceville:FastEthernet0/0, eauttclaire:FastEthernet0/0>
<boyceville:FastEthernet0/1, minneapolis:FastEthernet0/0>
<brainerd:FastEthernet0/0, littlettfalls:FastEthernet0/0>
<brainerd:FastEthernet0/1, mcgregor:FastEthernet0/0>
<brazil:FastEthernet0/0, greencastle:FastEthernet0/0>
<brazil:FastEthernet0/1, terretthaute:FastEthernet0/0>
<bremen:FastEthernet0/0, atlantaid697:FastEthernet0/0>
<bremen:FastEthernet0/1, carrolltonid693:FastEthernet0/0>
<bremen:FastEthernet1/0, rome:FastEthernet0/0>
<bristol:FastEthernet0/0, abingdon:FastEthernet0/0>
<bristol:FastEthernet0/1, kingsport:FastEthernet0/0>
<bristol:FastEthernet1/0, penningtonttgap:FastEthernet0/1>
<brookfield:FastEthernet0/0, menomonee:FastEthernet0/0>
<brookfield:FastEthernet0/1, milwaukee:FastEthernet0/0>
<brookfield:FastEthernet1/0, waukesha:FastEthernet0/0>
<brookfield:FastEthernet1/1, westttbend:FastEthernet0/0>
<brookhaven:FastEthernet0/0, crystalttsprings:FastEthernet0/0>
<brookhaven:FastEthernet0/1, mccomb:FastEthernet0/0>
<bryan:FastEthernet0/0, kendalville:FastEthernet0/1>
<bryan:FastEthernet0/1, toledo:FastEthernet1/0>
<buchanan:FastEthernet0/0, niles:FastEthernet0/1>
<buchanan:FastEthernet0/1, southttbend:FastEthernet0/0>
<burlington:FastEthernet0/0, durham:FastEthernet0/0>
<burlington:FastEthernet0/1, greensboro:FastEthernet0/0>
<burnsville:FastEthernet0/0, minneapolis:FastEthernet0/1>
<burnsville:FastEthernet0/1, owatonna:FastEthernet0/1>
<burnsville:FastEthernet1/0, stttpaul:FastEthernet0/0>
<byronttcenter:FastEthernet0/0, grandttrapids:FastEthernet0/0>
<byronttcenter:FastEthernet0/1, kalamazoo:FastEthernet0/1>
<byronttcenter:FastEthernet1/0, lansing:FastEthernet0/0>
<cadillac:FastEthernet0/0, bigttrapids:FastEthernet0/0>
<cadillac:FastEthernet0/1, grayling:FastEthernet0/0>
<cadillac:FastEthernet1/0, traversettcity:FastEthernet0/0>
<cairo:FastEthernet0/0, nodeid636:FastEthernet0/0>
<cairo:FastEthernet0/1, wickliffe:FastEthernet0/0>
<cambridge:FastEthernet0/0, wheeling:FastEthernet0/0>
<cambridge:FastEthernet0/1, zanesville:FastEthernet0/0>
<canton:FastEthernet0/0, akron:FastEthernet0/0>
<canton:FastEthernet0/1, massilon:FastEthernet0/0>
<cantonid521:FastEthernet0/0, macomb:FastEthernet0/0>
<cantonid521:FastEthernet0/1, peoria:FastEthernet0/1>
<capettgirardeau:FastEthernet0/0, nodeid636:FastEthernet0/1>
<capettgirardeau:FastEthernet0/1, sikeston:FastEthernet0/0>
<carbondale:FastEthernet0/0, marion:FastEthernet0/0>
<carbondale:FastEthernet0/1, murphysboro:FastEthernet0/0>
<carbondale:FastEthernet1/0, nodeid627:FastEthernet0/0>
<carmi:FastEthernet0/0, nodeid604:FastEthernet0/0>
<carmi:FastEthernet0/1, nodeid632:FastEthernet0/0>
<carrollton:FastEthernet0/0, nodeid339:FastEthernet0/0>
<carrolltonid693:FastEthernet0/0, bremen:FastEthernet0/1>
<carrolltonid693:FastEthernet0/1, lattgrange:FastEthernet0/0>
<cartersville:FastEthernet0/0, dalton:FastEthernet0/0>
<cartersville:FastEthernet0/1, marietta:FastEthernet0/0>
<cedarttrapids:FastEthernet0/0, iowattcity:FastEthernet0/0>
<cedarttrapids:FastEthernet0/1, marengo:FastEthernet0/0>
<centerville:FastEthernet0/0, dayton:FastEthernet0/0>
<centerville:FastEthernet0/1, nodeid343:FastEthernet0/0>
<centralia:FastEthernet0/0, belleville:FastEthernet0/0>
<centralia:FastEthernet0/1, mtttvernon:FastEthernet0/1>
<centralia:FastEthernet1/0, salem:FastEthernet0/0>
<centralttcity:FastEthernet0/0, leitchfield:FastEthernet0/1>
<centralttcity:FastEthernet0/1, madisonville:FastEthernet0/0>
<centralttcity:FastEthernet1/0, morgantown:FastEthernet0/1>
<chambersburg:FastEthernet0/0, hagerstown:FastEthernet0/0>
<chambersburg:FastEthernet0/1, harrisburg:FastEthernet0/0>
<champaign:FastEthernet0/0, bloomingtonid740:FastEthernet0/0>
<champaign:FastEthernet0/1, danvilleid734:FastEthernet0/0>
<champaign:FastEthernet1/0, decaturid320:FastEthernet0/0>
<champaign:FastEthernet1/1, mattoon:FastEthernet0/0>
<champaign:FastEthernet2/0, paxton:FastEthernet0/0>
<chandler:FastEthernet0/0, oklahomattcity:FastEthernet0/0>
<chandler:FastEthernet0/1, tulsa:FastEthernet0/0>
<charleston:FastEthernet0/0, beckley:FastEthernet0/0>
<charleston:FastEthernet0/1, huntington:FastEthernet0/1>
<charleston:FastEthernet1/0, madison:FastEthernet0/0>
<charleston:FastEthernet1/1, ravenswood:FastEthernet0/1>
<charlotte:FastEthernet0/0, lincolton:FastEthernet0/0>
<charlotte:FastEthernet0/1, mooresville:FastEthernet0/0>
<charlotte:FastEthernet1/0, winnsboro:FastEthernet0/0>
<charlottesville:FastEthernet0/0, culpeper:FastEthernet0/1>
<charlottesville:FastEthernet0/1, lynchburgid671:FastEthernet0/0>
<chattanooga:FastEthernet0/0, dalton:FastEthernet0/1>
<chattanooga:FastEthernet0/1, lattfayette:FastEthernet0/0>
<chattanooga:FastEthernet1/0, nodeid345:FastEthernet0/1>
<chattanooga:FastEthernet1/1, tullahoma:FastEthernet0/0>
<chesapeake:FastEthernet0/0, elizabethttcity:FastEthernet0/0>
<chesapeake:FastEthernet0/1, petersburg:FastEthernet0/0>
<chester:FastEthernet0/0, sparta:FastEthernet0/0>
<chicago:FastEthernet0/0, gary:FastEthernet0/0>
<chicago:FastEthernet0/1, joliet:FastEthernet0/0>
<chicago:FastEthernet1/0, kankakee:FastEthernet0/0>
<chicago:FastEthernet1/1, oakttbrook:FastEthernet0/0>
<chicago:FastEthernet2/0, schaumburg:FastEthernet0/0>
<chicago:FastEthernet2/1, skokie:FastEthernet0/0>
<chickasha:FastEthernet0/0, lawton:FastEthernet0/0>
<chickasha:FastEthernet0/1, norman:FastEthernet0/0>
<childersburg:FastEthernet0/0, alexanderttcity:FastEthernet0/0>
<childersburg:FastEthernet0/1, birmingham:FastEthernet0/1>
<childersburg:FastEthernet1/0, talledega:FastEthernet0/1>
<chillicothe:FastEthernet0/0, columbusid715:FastEthernet0/0>
<chillicothe:FastEthernet0/1, portsmouth:FastEthernet0/1>
<chippenwattfalls:FastEthernet0/0, eauttclaire:FastEthernet0/1>
<chippenwattfalls:FastEthernet0/1, ricettlake:FastEthernet0/0>
<christiansburg:FastEthernet0/0, roanoke:FastEthernet0/0>
<christiansburg:FastEthernet0/1, wytheville:FastEthernet1/0>
<cincinnati:FastEthernet0/0, batesville:FastEthernet0/0>
<cincinnati:FastEthernet0/1, covington:FastEthernet0/0>
<cincinnati:FastEthernet1/0, evendale:FastEthernet0/0>
<cincinnati:FastEthernet1/1, hamilton:FastEthernet0/0>
<cincinnati:FastEthernet2/0, nodeid69:FastEthernet0/0>
<cincinnati:FastEthernet2/1, oxford:FastEthernet0/0>
<citronelle:FastEthernet0/0, mcintosh:FastEthernet0/0>
<citronelle:FastEthernet0/1, mobile:FastEthernet0/1>
<clanton:FastEthernet0/0, alabaster:FastEthernet0/1>
<clanton:FastEthernet0/1, montgomery:FastEthernet0/0>
<clarendon:FastEthernet0/0, marvell:FastEthernet0/0>
<clarendon:FastEthernet0/1, nodeid635:FastEthernet0/1>
<clarksville:FastEthernet0/0, dickson:FastEthernet0/0>
<clarksville:FastEthernet0/1, oakttgrove:FastEthernet0/0>
<clarksvilleid155:FastEthernet0/0, southttboston:FastEthernet0/0>
<clarksvilleid155:FastEthernet0/1, southtthill:FastEthernet0/0>
<clarksvilleid402:FastEthernet0/0, fortttsmith:FastEthernet0/0>
<clarksvilleid402:FastEthernet0/1, russellvilleid401:FastEthernet0/0>
<cleveland:FastEthernet0/0, dalton:FastEthernet1/0>
<cleveland:FastEthernet0/1, nodeid345:FastEthernet1/0>
<clevelandid403:FastEthernet0/0, bereaid377:FastEthernet0/0>
<clevelandid403:FastEthernet0/1, eastlake:FastEthernet0/1>
<clevelandid403:FastEthernet1/0, montrose:FastEthernet0/1>
<clevelandid403:FastEthernet1/1, vermilion:FastEthernet0/0>
<clinton:FastEthernet0/0, davenport:FastEthernet0/0>
<clinton:FastEthernet0/1, macquoketa:FastEthernet0/0>
<clymer:FastEthernet0/0, johnstown:FastEthernet0/1>
<clymer:FastEthernet0/1, shippenville:FastEthernet0/0>
<collierville:FastEthernet0/0, nodeid390:FastEthernet0/0>
<collierville:FastEthernet0/1, nodeid391:FastEthernet0/0>
<collinsville:FastEthernet0/0, belleville:FastEthernet0/1>
<collinsville:FastEthernet0/1, nodeid634:FastEthernet0/1>
<collinwood:FastEthernet0/0, columbia:FastEthernet0/0>
<collinwood:FastEthernet0/1, corinth:FastEthernet0/0>
<columbia:FastEthernet0/0, collinwood:FastEthernet0/0>
<columbia:FastEthernet0/1, franklin:FastEthernet0/0>
<columbia:FastEthernet1/0, lawrenceburg:FastEthernet0/0>
<columbia:FastEthernet1/1, nodeid269:FastEthernet0/0>
<columbiaid120:FastEthernet0/0, boonville:FastEthernet0/0>
<columbiaid120:FastEthernet0/1, jeffersonttcity:FastEthernet0/0>
<columbiaid471:FastEthernet0/0, johnston:FastEthernet0/1>
<columbiaid471:FastEthernet0/1, winnsboro:FastEthernet0/1>
<columbiattcity:FastEthernet0/0, kendalville:FastEthernet1/0>
<columbiattcity:FastEthernet0/1, northttmanchester:FastEthernet0/0>
<columbus:FastEthernet0/0, meridian:FastEthernet0/0>
<columbus:FastEthernet0/1, tupolo:FastEthernet0/0>
<columbusid700:FastEthernet0/0, manchester:FastEthernet0/0>
<columbusid700:FastEthernet0/1, westttpoint:FastEthernet0/1>
<columbusid715:FastEthernet0/0, chillicothe:FastEthernet0/0>
<columbusid715:FastEthernet0/1, lancaster:FastEthernet0/0>
<columbusid715:FastEthernet1/0, newark:FastEthernet0/0>
<columbusid715:FastEthernet1/1, nodeid137:FastEthernet0/0>
<columbusid715:FastEthernet2/0, springfieldid712:FastEthernet0/0>
<columbusid715:FastEthernet2/1, worthingtonid716:FastEthernet0/0>
<columbusid715:FastEthernet3/0, xenia:FastEthernet0/0>
<connersville:FastEthernet0/0, newttcastle:FastEthernet0/1>
<connersville:FastEthernet0/1, rushville:FastEthernet0/0>
<conway:FastEthernet0/0, littlettrock:FastEthernet1/0>
<conway:FastEthernet0/1, morrilton:FastEthernet0/0>
<conway:FastEthernet1/0, searcy:FastEthernet0/0>
<cookeville:FastEthernet0/0, crossville:FastEthernet0/0>
<cookeville:FastEthernet0/1, lebanonid595:FastEthernet0/0>
<cookeville:FastEthernet1/0, mcminnville:FastEthernet0/0>
<corbin:FastEthernet0/0, barbourville:FastEthernet0/0>
<corbin:FastEthernet0/1, london:FastEthernet0/0>
<corinth:FastEthernet0/0, collinwood:FastEthernet0/1>
<corinth:FastEthernet0/1, hollyttsprings:FastEthernet0/0>
<corinth:FastEthernet1/0, tupolo:FastEthernet0/1>
<corydon:FastEthernet0/0, jasper:FastEthernet0/0>
<corydon:FastEthernet0/1, newttalbany:FastEthernet0/0>
<cottondale:FastEthernet0/0, dettfuniakttsprings:FastEthernet0/0>
<cottondale:FastEthernet0/1, dothan:FastEthernet0/0>
<cottondale:FastEthernet1/0, marianna:FastEthernet0/0>
<cottondale:FastEthernet1/1, panamattcity:FastEthernet0/0>
<covington:FastEthernet0/0, cincinnati:FastEthernet0/1>
<covington:FastEthernet0/1, florence:FastEthernet0/0>
<covington:FastEthernet1/0, winchester:FastEthernet0/0>
<covingtonid234:FastEthernet0/0, dyersburg:FastEthernet0/0>
<covingtonid234:FastEthernet0/1, memphis:FastEthernet0/0>
<covingtonid322:FastEthernet0/0, hammond:FastEthernet0/0>
<covingtonid322:FastEthernet0/1, slidell:FastEthernet0/0>
<crane:FastEthernet0/0, owensburg:FastEthernet0/1>
<crawfordsville:FastEthernet0/0, lafayette:FastEthernet0/0>
<crawfordsville:FastEthernet0/1, lebanonid412:FastEthernet0/0>
<crestline:FastEthernet0/0, delaware:FastEthernet0/0>
<crestline:FastEthernet0/1, newttlondonid380:FastEthernet0/1>
<crestview:FastEthernet0/0, dettfuniakttsprings:FastEthernet0/1>
<crestview:FastEthernet0/1, pensacola:FastEthernet0/0>
<crossville:FastEthernet0/0, cookeville:FastEthernet0/0>
<crossville:FastEthernet0/1, nodeid64:FastEthernet0/1>
<crossville:FastEthernet1/0, oakttridge:FastEthernet0/0>
<crystalttsprings:FastEthernet0/0, brookhaven:FastEthernet0/0>
<crystalttsprings:FastEthernet0/1, jacksonid434:FastEthernet0/0>
<cullman:FastEthernet0/0, decaturid414:FastEthernet0/0>
<cullman:FastEthernet0/1, oneonta:FastEthernet0/0>
<culpeper:FastEthernet0/0, ashburn:FastEthernet0/0>
<culpeper:FastEthernet0/1, charlottesville:FastEthernet0/0>
<dallas:FastEthernet0/0, athensid517:FastEthernet0/0>
<dallas:FastEthernet0/1, fortttworth:FastEthernet0/0>
<dallas:FastEthernet1/0, terrell:FastEthernet0/0>
<dallas:FastEthernet1/1, waxahachie:FastEthernet0/0>
<dalton:FastEthernet0/0, cartersville:FastEthernet0/0>
<dalton:FastEthernet0/1, chattanooga:FastEthernet0/0>
<dalton:FastEthernet1/0, cleveland:FastEthernet0/0>
<dalton:FastEthernet1/1, lattfayette:FastEthernet0/1>
<danville:FastEthernet0/0, martinsville:FastEthernet0/0>
<danville:FastEthernet0/1, southttboston:FastEthernet0/1>
<danvilleid290:FastEthernet0/0, lexington:FastEthernet0/0>
<danvilleid290:FastEthernet0/1, richmondid293:FastEthernet0/1>
<danvilleid290:FastEthernet1/0, salvisa:FastEthernet0/0>
<danvilleid734:FastEthernet0/0, champaign:FastEthernet0/1>
<danvilleid734:FastEthernet0/1, lafayette:FastEthernet0/1>
<davenport:FastEthernet0/0, clinton:FastEthernet0/0>
<davenport:FastEthernet0/1, galesburg:FastEthernet0/0>
<davenport:FastEthernet1/0, iowattcity:FastEthernet0/1>
<davenport:FastEthernet1/1, moline:FastEthernet0/0>
<davenport:FastEthernet2/0, sterling:FastEthernet0/0>
<dayton:FastEthernet0/0, centerville:FastEthernet0/0>
<dayton:FastEthernet0/1, springfieldid712:FastEthernet0/1>
<dayton:FastEthernet1/0, xenia:FastEthernet0/1>
<decatur:FastEthernet0/0, auburn:FastEthernet0/0>
<decatur:FastEthernet0/1, nodeid338:FastEthernet0/0>
<decaturid320:FastEthernet0/0, champaign:FastEthernet1/0>
<decaturid320:FastEthernet0/1, springfield:FastEthernet0/0>
<decaturid414:FastEthernet0/0, cullman:FastEthernet0/0>
<decaturid414:FastEthernet0/1, russellville:FastEthernet0/0>
<delaware:FastEthernet0/0, crestline:FastEthernet0/0>
<delaware:FastEthernet0/1, nodeid137:FastEthernet0/1>
<delaware:FastEthernet1/0, worthingtonid716:FastEthernet0/1>
<demopolis:FastEthernet0/0, greensboroid558:FastEthernet0/0>
<demopolis:FastEthernet0/1, linden:FastEthernet0/0>
<denton:FastEthernet0/0, bowle:FastEthernet0/0>
<denton:FastEthernet0/1, fortttworth:FastEthernet0/1>
<desttmoines:FastEthernet0/0, ames:FastEthernet0/0>
<desttmoines:FastEthernet0/1, newton:FastEthernet0/0>
<dettfuniakttsprings:FastEthernet0/0, cottondale:FastEthernet0/0>
<dettfuniakttsprings:FastEthernet0/1, crestview:FastEthernet0/0>
<dettkalb:FastEthernet0/0, aurora:FastEthernet0/0>
<dettkalb:FastEthernet0/1, rochelle:FastEthernet0/0>
<dettkalb:FastEthernet1/0, rockford:FastEthernet0/1>
<dettpere:FastEthernet0/0, appleton:FastEthernet0/0>
<dettpere:FastEthernet0/1, greenttbay:FastEthernet0/0>
<dexter:FastEthernet0/0, malden:FastEthernet0/0>
<dexter:FastEthernet0/1, sikeston:FastEthernet0/1>
<dickson:FastEthernet0/0, clarksville:FastEthernet0/0>
