<aarhus:FastEthernet0/0, copenhagen:FastEthernet0/0>
<allahabad:FastEthernet1/0, rewa:FastEthernet0/0>
<allepey:FastEthernet0/0, coimbatore:FastEthernet0/0>
<allepey:FastEthernet0/1, kottayem:FastEthernet0/0>
<allepey:FastEthernet1/0, thirussur:FastEthernet0/0>
<almere:FastEthernet0/0, amsterdam:FastEthernet0/0>
<almond:FastEthernet0/0, alfred:FastEthernet0/0>
<almond:FastEthernet0/1, ingleside:FastEthernet0/0>
<altmar:FastEthernet0/0, syracuse:FastEthernet0/0>
<ambala:FastEthernet0/0, chandigarh:FastEthernet0/0>
<ambala:FastEthernet0/1, karnal:FastEthernet0/0>
<amravati:FastEthernet0/0, buldhana:FastEthernet0/0>
<amravati:FastEthernet0/1, nagpur:FastEthernet0/0>
<amritsar:FastEthernet0/0, kotttkapura:FastEthernet0/0>
<amritsar:FastEthernet0/1, pathankot:FastEthernet0/0>
<amsterdam:FastEthernet0/0, almere:FastEthernet0/0>
<amsterdam:FastEthernet0/1, dusseldorf:FastEthernet0/0>
<amsterdam:FastEthernet1/0, hilversum:FastEthernet0/0>
<amsterdam:FastEthernet1/1, hoofddorp:FastEthernet0/0>
<anand:FastEthernet0/0, ahmedabad:FastEthernet0/0>
<anand:FastEthernet0/1, gandhinagar:FastEthernet0/0>
<anderlecht:FastEthernet0/0, brussels:FastEthernet0/0>
<anniston:FastEthernet0/0, alexanderttcity:FastEthernet0/0>
<anniston:FastEthernet0/1, birmingham:FastEthernet0/0>
<anniston:FastEthernet1/0, gadsden:FastEthernet0/0>
<anniston:FastEthernet1/1, nodeidgh84:FastEthernet0/0>
<antwerp:FastEthernet0/0, brussels:FastEthernet0/1>
<antwerp:FastEthernet0/1, thetthague:FastEthernet0/0>
<arab:FastEthernet0/0, birmingham:FastEthernet0/1>
<arab:FastEthernet0/1, huntsville:FastEthernet0/0>
<asansol:FastEthernet0/0, bokaro:FastEthernet0/0>
<asansol:FastEthernet0/1, dhanbad:FastEthernet0/0>
<ashville:FastEthernet0/0, greenville:FastEthernet0/0>
<ashville:FastEthernet0/1, sylva:FastEthernet0/0>
<athens:FastEthernet0/0, atlanta:FastEthernet0/0>
<athens:FastEthernet0/1, augusta:FastEthernet0/0>
<athens:FastEthernet1/0, nodeidgh98:FastEthernet0/0>
<atlanta:FastEthernet0/0, athens:FastEthernet0/0>
<atlanta:FastEthernet0/1, chattanooga:FastEthernet0/0>
<atlanta:FastEthernet1/0, gainesvilleidgh15:FastEthernet0/0>
<atlanta:FastEthernet1/1, greenville:FastEthernet0/1>
<atlanta:FastEthernet2/0, macon:FastEthernet0/0>
<atlanta:FastEthernet2/1, nodeidgh111:FastEthernet0/0>
<atlanta:FastEthernet3/0, nodeidgh84:FastEthernet0/1>
<atlanta:FastEthernet3/1, tallahassee:FastEthernet0/1>
<atlanta:FastEthernet4/0, westttpoint:FastEthernet0/0>
<auburn:FastEthernet0/0, nodeidgg110:FastEthernet0/0>
<auburn:FastEthernet0/1, nodeidgg124:FastEthernet0/0>
<auburnidgh41:FastEthernet0/0, alexanderttcity:FastEthernet0/1>
<auburnidgh41:FastEthernet0/1, opelika:FastEthernet0/0>
<augusta:FastEthernet0/0, athens:FastEthernet0/1>
<augusta:FastEthernet0/1, columbia:FastEthernet0/0>
<augusta:FastEthernet1/0, savannah:FastEthernet0/0>
<aurangabad:FastEthernet0/0, ahmednagar:FastEthernet0/0>
<aurangabad:FastEthernet0/1, jalgaon:FastEthernet0/1>
<aurangabad:FastEthernet1/0, nanded:FastEthernet0/0>
<austin:FastEthernet0/0, bryan:FastEthernet0/0>
<austin:FastEthernet0/1, santtmarcos:FastEthernet0/0>
<bangalore:FastEthernet0/0, erode:FastEthernet0/0>
<bangalore:FastEthernet0/1, kolar:FastEthernet0/0>
<bangalore:FastEthernet1/0, mysore:FastEthernet0/0>
<bangalore:FastEthernet1/1, nodeidhg70:FastEthernet0/0>
<bangalore:FastEthernet2/0, salem:FastEthernet0/0>
<bangalore:FastEthernet2/1, torangallu:FastEthernet0/0>
<barcelona:FastEthernet0/0, nodeidhh79:FastEthernet0/0>
<barcelona:FastEthernet0/1, valencia:FastEthernet0/0>
<bareilly:FastEthernet0/0, moradabad:FastEthernet0/0>
<bareilly:FastEthernet0/1, sitapur:FastEthernet0/0>
<bari:FastEthernet0/0, rome:FastEthernet0/0>
<baroda:FastEthernet0/0, bharuch:FastEthernet0/0>
<baroda:FastEthernet0/1, godhra:FastEthernet0/1>
<barre:FastEthernet0/0, buffalo:FastEthernet0/0>
<barre:FastEthernet0/1, nodeidgg95:FastEthernet0/0>
<barreidgg104:FastEthernet0/0, mountpelier:FastEthernet0/0>
<basel:FastEthernet0/0, nodeidhh73:FastEthernet0/0>
<basel:FastEthernet0/1, strasbourg:FastEthernet0/0>
<basel:FastEthernet1/0, zurich:FastEthernet0/0>
<batonttrouge:FastEthernet0/0, lafayette:FastEthernet0/1>
<batonttrouge:FastEthernet0/1, newttorleans:FastEthernet0/0>
<beaufort:FastEthernet0/0, nodeidgh102:FastEthernet0/0>
<beaumont:FastEthernet0/0, houston:FastEthernet0/0>
<beaumont:FastEthernet0/1, lakettcharles:FastEthernet0/0>
<belgaum:FastEthernet0/0, bellary:FastEthernet0/0>
<belgaum:FastEthernet0/1, hubli:FastEthernet0/0>
<belgaum:FastEthernet1/0, kolhapur:FastEthernet0/0>
<belgaum:FastEthernet1/1, panjim:FastEthernet0/0>
<belgaum:FastEthernet2/0, solapur:FastEthernet0/1>
<bellary:FastEthernet0/0, belgaum:FastEthernet0/0>
<bellary:FastEthernet0/1, torangallu:FastEthernet0/1>
<bellowsttfalls:FastEthernet0/0, brattleboro:FastEthernet0/0>
<bellowsttfalls:FastEthernet0/1, whitettriverttjunction:FastEthernet0/0>
<benningtown:FastEthernet0/0, brattleboro:FastEthernet0/1>
<benningtown:FastEthernet0/1, dothan:FastEthernet0/0>
<benningtown:FastEthernet1/0, manchester:FastEthernet0/0>
<benningtown:FastEthernet1/1, rostock:FastEthernet0/0>
<bergamo:FastEthernet0/0, brescia:FastEthernet0/0>
<bergamo:FastEthernet0/1, milan:FastEthernet0/0>
<berlin:FastEthernet0/0, dresden:FastEthernet0/0>
<berlin:FastEthernet0/1, nodeidhh60:FastEthernet0/0>
<berlin:FastEthernet1/0, potsdamidhh3:FastEthernet0/0>
<berlin:FastEthernet1/1, rostock:FastEthernet0/1>
<berlin:FastEthernet2/0, warsaw:FastEthernet0/0>
<bern:FastEthernet0/0, nodeidhh73:FastEthernet0/1>
<bhandara:FastEthernet0/0, nagpur:FastEthernet0/1>
<bhandara:FastEthernet0/1, raipur:FastEthernet0/0>
<bharuch:FastEthernet0/0, baroda:FastEthernet0/0>
<bharuch:FastEthernet0/1, surat:FastEthernet0/0>
<bhatinda:FastEthernet0/0, talwandittbahi:FastEthernet0/0>
<bhilwara:FastEthernet0/0, jaipur:FastEthernet0/1>
<bhilwara:FastEthernet0/1, ratlam:FastEthernet0/1>
<bhilwara:FastEthernet1/0, tonk:FastEthernet0/0>
<bhilwara:FastEthernet1/1, udaipur:FastEthernet0/1>
<bhopal:FastEthernet0/0, rajgarh:FastEthernet0/0>
<bhopal:FastEthernet0/1, ujjain:FastEthernet0/0>
<bhubaneshwar:FastEthernet0/0, dhenkanal:FastEthernet0/0>
<bhubaneshwar:FastEthernet0/1, kharagpur:FastEthernet0/0>
<bielbienne:FastEthernet0/0, nodeidhh73:FastEthernet1/0>
<biella:FastEthernet0/0, milan:FastEthernet0/1>
<binghampton:FastEthernet0/0, deposit:FastEthernet0/0>
<binghampton:FastEthernet0/1, dryden:FastEthernet0/0>
<binghampton:FastEthernet1/0, norwich:FastEthernet0/0>
<birmingham:FastEthernet0/0, anniston:FastEthernet0/1>
<birmingham:FastEthernet0/1, arab:FastEthernet0/0>
<birmingham:FastEthernet1/0, montgomery:FastEthernet0/0>
<birmingham:FastEthernet1/1, nodeidgh111:FastEthernet0/1>
<birmingham:FastEthernet2/0, tuscaloosa:FastEthernet0/0>
<birminghamidhh77:FastEthernet0/0, bristolidhh150:FastEthernet0/0>
<birminghamidhh77:FastEthernet0/1, manchesteridhh76:FastEthernet0/0>
<boblingen:FastEthernet0/0, stuttgart:FastEthernet0/0>
<bokaro:FastEthernet0/0, asansol:FastEthernet0/0>
<bokaro:FastEthernet0/1, dhanbad:FastEthernet0/1>
<bokaro:FastEthernet1/0, hazaribagh:FastEthernet0/0>
<bokaro:FastEthernet1/1, jamshedpur:FastEthernet0/0>
<bologna:FastEthernet0/0, firenze:FastEthernet0/0>
<bologna:FastEthernet0/1, modena:FastEthernet0/0>
<boonville:FastEthernet0/0, lowville:FastEthernet0/0>
<boonville:FastEthernet0/1, remsen:FastEthernet0/0>
<bordeaux:FastEthernet0/0, madrid:FastEthernet0/0>
<bordeaux:FastEthernet0/1, nantes:FastEthernet0/0>
<bordeaux:FastEthernet1/0, toulouse:FastEthernet0/0>
<borgomanero:FastEthernet0/0, milan:FastEthernet1/0>
<boston:FastEthernet0/0, brattleboro:FastEthernet1/0>
<bostonidhh28:FastEthernet0/0, chicago:FastEthernet0/0>
<bostonidhh28:FastEthernet0/1, london:FastEthernet0/0>
<bratislava:FastEthernet0/0, budapest:FastEthernet0/0>
<bratislava:FastEthernet0/1, vienna:FastEthernet0/0>
<brattleboro:FastEthernet0/0, bellowsttfalls:FastEthernet0/0>
<brattleboro:FastEthernet0/1, benningtown:FastEthernet0/0>
<brattleboro:FastEthernet1/0, boston:FastEthernet0/0>
<brattleboro:FastEthernet1/1, keene:FastEthernet0/0>
<brattleboro:FastEthernet2/0, putney:FastEthernet0/0>
<breda:FastEthernet0/0, denttbosch:FastEthernet0/0>
<bremen:FastEthernet0/0, hamburg:FastEthernet0/1>
<brescia:FastEthernet0/0, bergamo:FastEthernet0/0>
<brescia:FastEthernet0/1, verona:FastEthernet0/0>
<brindisi:FastEthernet0/0, rome:FastEthernet0/1>
<bristol:FastEthernet0/0, burlington:FastEthernet0/0>
<bristol:FastEthernet0/1, middlebury:FastEthernet0/1>
<bristolidhh150:FastEthernet0/0, birminghamidhh77:FastEthernet0/0>
<bristolidhh150:FastEthernet0/1, dublin:FastEthernet0/0>
<bristolidhh150:FastEthernet1/0, reading:FastEthernet0/0>
<brussels:FastEthernet0/0, anderlecht:FastEthernet0/0>
<brussels:FastEthernet0/1, antwerp:FastEthernet0/0>
<brussels:FastEthernet1/0, charleroi:FastEthernet0/0>
<brussels:FastEthernet1/1, evere:FastEthernet0/0>
<brussels:FastEthernet2/0, ghent:FastEthernet0/0>
<brussels:FastEthernet2/1, kortnijk:FastEthernet0/0>
<brussels:FastEthernet3/0, leuven:FastEthernet0/0>
<brussels:FastEthernet3/1, liege:FastEthernet0/0>
<brussels:FastEthernet4/0, london:FastEthernet0/1>
<brussels:FastEthernet4/1, luxembourg:FastEthernet0/0>
<brussels:FastEthernet5/0, mons:FastEthernet0/0>
<bryan:FastEthernet0/0, austin:FastEthernet0/0>
<bryan:FastEthernet0/1, waco:FastEthernet0/0>
<bucharest:FastEthernet0/0, budapest:FastEthernet0/1>
<budapest:FastEthernet0/0, bratislava:FastEthernet0/0>
<budapest:FastEthernet0/1, bucharest:FastEthernet0/0>
<budapest:FastEthernet1/0, vienna:FastEthernet0/1>
<buffalo:FastEthernet0/0, barre:FastEthernet0/0>
<buffalo:FastEthernet0/1, fredonia:FastEthernet0/0>
<buffalo:FastEthernet1/0, syracuse:FastEthernet0/1>
<buldhana:FastEthernet0/0, amravati:FastEthernet0/0>
<buldhana:FastEthernet0/1, jalgaon:FastEthernet1/0>
<burdett:FastEthernet0/0, nodeidgg109:FastEthernet0/0>
<burdett:FastEthernet0/1, odessa:FastEthernet0/0>
<burlington:FastEthernet0/0, bristol:FastEthernet0/0>
<burlington:FastEthernet0/1, essexttjunction:FastEthernet0/0>
<burlington:FastEthernet1/0, middlebury:FastEthernet1/0>
<burlington:FastEthernet1/1, nodeidgg30:FastEthernet0/0>
<burlington:FastEthernet2/0, rutland:FastEthernet0/0>
<burlington:FastEthernet2/1, winooski:FastEthernet0/0>
<cagliari:FastEthernet0/0, rome:FastEthernet1/0>
<callicut:FastEthernet0/0, mangalore:FastEthernet0/0>
<callicut:FastEthernet0/1, mysore:FastEthernet0/1>
<cannonore:FastEthernet0/0, kozhikode:FastEthernet0/0>
<cannonore:FastEthernet0/1, mangalore:FastEthernet0/1>
<canton:FastEthernet0/0, nodeidgg89:FastEthernet0/0>
<canton:FastEthernet0/1, potsdam:FastEthernet0/0>
<cassadaga:FastEthernet0/0, fredonia:FastEthernet0/1>
<cassadaga:FastEthernet0/1, nodeidgg94:FastEthernet0/0>
<catania:FastEthernet0/0, rome:FastEthernet1/1>
<cazenovia:FastEthernet0/0, cortland:FastEthernet0/0>
<cazenovia:FastEthernet0/1, morrisville:FastEthernet0/0>
<champlain:FastEthernet0/0, chazy:FastEthernet0/0>
<champlain:FastEthernet0/1, westport:FastEthernet0/0>
<chandigarh:FastEthernet0/0, ambala:FastEthernet0/0>
<chandigarh:FastEthernet0/1, ludhiana:FastEthernet0/0>
<chandrapur:FastEthernet0/0, hyderabad:FastEthernet0/0>
<chandrapur:FastEthernet0/1, wardha:FastEthernet0/0>
<charleroi:FastEthernet0/0, brussels:FastEthernet1/0>
<charleston:FastEthernet0/0, myrtlettbeach:FastEthernet0/0>
<charleston:FastEthernet0/1, nodeidgh100:FastEthernet0/0>
<charleston:FastEthernet1/0, nodeidgh103:FastEthernet0/0>
<charleston:FastEthernet1/1, savannah:FastEthernet0/1>
<charlotte:FastEthernet0/0, columbia:FastEthernet0/1>
<charlotte:FastEthernet0/1, greenville:FastEthernet1/0>
<charlotte:FastEthernet1/0, hickory:FastEthernet0/0>
<charlotte:FastEthernet1/1, lexington:FastEthernet0/0>
<charlotte:FastEthernet2/0, nodeidgh99:FastEthernet0/0>
<charlotte:FastEthernet2/1, raleigh:FastEthernet0/0>
<charlotte:FastEthernet3/0, winstondashsalem:FastEthernet0/0>
<chattanooga:FastEthernet0/0, atlanta:FastEthernet0/1>
<chattanooga:FastEthernet0/1, nashville:FastEthernet0/0>
<chazy:FastEthernet0/0, champlain:FastEthernet0/0>
<chazy:FastEthernet0/1, plattsburgh:FastEthernet0/0>
<chennai:FastEthernet0/0, tirupati:FastEthernet0/0>
<chesterfield:FastEthernet0/0, plattsburgh:FastEthernet0/1>
<chesterfield:FastEthernet0/1, schroonttlake:FastEthernet0/0>
<chiasso:FastEthernet0/0, como:FastEthernet0/0>
<chiasso:FastEthernet0/1, lugano:FastEthernet0/0>
<chicago:FastEthernet0/0, bostonidhh28:FastEthernet0/0>
<chidambaram:FastEthernet0/0, palladam:FastEthernet0/0>
<chidambaram:FastEthernet0/1, pondicherry:FastEthernet0/0>
<chitradurg:FastEthernet0/0, mangalore:FastEthernet1/0>
<cobleskill:FastEthernet0/0, middleburgh:FastEthernet0/0>
<cobleskill:FastEthernet0/1, oneonta:FastEthernet0/0>
<cocoattbeach:FastEthernet0/0, daytonattbeach:FastEthernet0/0>
<cocoattbeach:FastEthernet0/1, melbourne:FastEthernet0/0>
<cocoattbeach:FastEthernet1/0, orlando:FastEthernet0/0>
<coimbatore:FastEthernet0/0, allepey:FastEthernet0/0>
<coimbatore:FastEthernet0/1, sivakasi:FastEthernet0/0>
<coimbatore:FastEthernet1/0, tirupur:FastEthernet0/0>
<coimbatore:FastEthernet1/1, trichy:FastEthernet0/0>
<cologne:FastEthernet0/0, dusseldorf:FastEthernet0/1>
<cologne:FastEthernet0/1, frankfurt:FastEthernet0/0>
<columbia:FastEthernet0/0, augusta:FastEthernet0/1>
<columbia:FastEthernet0/1, charlotte:FastEthernet0/0>
<columbia:FastEthernet1/0, orangeburg:FastEthernet0/0>
<columbia:FastEthernet1/1, sumter:FastEthernet0/0>
<como:FastEthernet0/0, chiasso:FastEthernet0/0>
<como:FastEthernet0/1, milan:FastEthernet1/1>
<cooperstown:FastEthernet0/0, hamilton:FastEthernet0/0>
<cooperstown:FastEthernet0/1, oneonta:FastEthernet0/1>
<copenhagen:FastEthernet0/0, aarhus:FastEthernet0/0>
<copenhagen:FastEthernet0/1, gothenburg:FastEthernet0/0>
<copenhagen:FastEthernet1/0, hamburg:FastEthernet1/0>
<copenhagen:FastEthernet1/1, malmo:FastEthernet0/0>
<copenhagen:FastEthernet2/0, stockholm:FastEthernet0/0>
<corning:FastEthernet0/0, elmira:FastEthernet0/0>
<corning:FastEthernet0/1, nodeidgg93:FastEthernet0/1>
<cortland:FastEthernet0/0, cazenovia:FastEthernet0/0>
<cortland:FastEthernet0/1, dryden:FastEthernet0/1>
<coxsackie:FastEthernet0/0, albany:FastEthernet0/0>
<coxsackie:FastEthernet0/1, germantown:FastEthernet0/0>
<crestview:FastEthernet0/0, panamattcity:FastEthernet0/0>
<crestview:FastEthernet0/1, pensacola:FastEthernet0/0>
<crestview:FastEthernet1/0, tallahassee:FastEthernet1/0>
<crownttpoint:FastEthernet0/0, addisonidgg108:FastEthernet0/0>
<crownttpoint:FastEthernet0/1, westport:FastEthernet0/1>
<crownttpoint:FastEthernet1/0, whitehall:FastEthernet0/0>
<cuneo:FastEthernet0/0, turin:FastEthernet0/0>
<dallas:FastEthernet0/0, houston:FastEthernet0/1>
<dallas:FastEthernet0/1, waco:FastEthernet0/1>
<dallas:FastEthernet1/0, intview:FastEthernet0/0>
<damoh:FastEthernet0/0, jabalpur:FastEthernet0/0>
<damoh:FastEthernet0/1, sagar:FastEthernet0/0>
<daytonattbeach:FastEthernet0/0, cocoattbeach:FastEthernet0/0>
<daytonattbeach:FastEthernet0/1, jacksonville:FastEthernet0/0>
<daytonattbeach:FastEthernet1/0, nodeidgh85:FastEthernet0/0>
<daytonattbeach:FastEthernet1/1, sauntttaugustine:FastEthernet0/0>
<dehradun:FastEthernet0/0, lucknow:FastEthernet0/0>
<delhi:FastEthernet0/0, hancock:FastEthernet0/0>
<delhi:FastEthernet0/1, margaretsville:FastEthernet0/0>
<delhiidhg46:FastEthernet0/0, ghaziabad:FastEthernet0/0>
<delhiidhg46:FastEthernet0/1, gurgaon:FastEthernet0/0>
<delhiidhg46:FastEthernet1/0, jaipur:FastEthernet1/0>
<delhiidhg46:FastEthernet1/1, mathura:FastEthernet0/1>
<delhiidhg46:FastEthernet2/0, noida:FastEthernet0/0>
<delhiidhg46:FastEthernet2/1, sonipat:FastEthernet0/0>
<denttbosch:FastEthernet0/0, breda:FastEthernet0/0>
<denttbosch:FastEthernet0/1, eindhoven:FastEthernet0/0>
<denttbosch:FastEthernet1/0, rotterdam:FastEthernet0/0>
<denttbosch:FastEthernet1/1, utrecht:FastEthernet0/0>
<deposit:FastEthernet0/0, binghampton:FastEthernet0/0>
<deposit:FastEthernet0/1, hancock:FastEthernet0/1>
<dhanbad:FastEthernet0/0, asansol:FastEthernet0/1>
<dhanbad:FastEthernet0/1, bokaro:FastEthernet0/1>
<dhar:FastEthernet0/0, indore:FastEthernet0/0>
<dhar:FastEthernet0/1, khandwa:FastEthernet0/0>
<dhar:FastEthernet1/0, ujjain:FastEthernet0/1>
<dhenkanal:FastEthernet0/0, bhubaneshwar:FastEthernet0/0>
<dhenkanal:FastEthernet0/1, raipur:FastEthernet0/1>
<dhenkanal:FastEthernet1/0, visakhapatnam:FastEthernet0/0>
<dhulia:FastEthernet0/0, jalgaon:FastEthernet1/1>
<dhulia:FastEthernet0/1, nasik:FastEthernet0/1>
<dijon:FastEthernet0/0, lyon:FastEthernet0/0>
<dortmund:FastEthernet0/0, essen:FastEthernet0/0>
<dortmund:FastEthernet0/1, wuppertal:FastEthernet0/0>
<dothan:FastEthernet0/0, benningtown:FastEthernet0/1>
<dothan:FastEthernet0/1, montgomery:FastEthernet0/1>
<dothan:FastEthernet1/0, panamattcity:FastEthernet0/1>
<dresden:FastEthernet0/0, berlin:FastEthernet0/0>
<dresden:FastEthernet0/1, leipzig:FastEthernet0/0>
<dresden:FastEthernet1/0, prague:FastEthernet0/0>
<dryden:FastEthernet0/0, binghampton:FastEthernet0/1>
<dryden:FastEthernet0/1, cortland:FastEthernet0/1>
<dryden:FastEthernet1/0, nodeidgg124:FastEthernet0/1>
<dublin:FastEthernet0/0, bristolidhh150:FastEthernet0/1>
<dublin:FastEthernet0/1, london:FastEthernet1/0>
<durham:FastEthernet0/0, greensboro:FastEthernet0/0>
<durham:FastEthernet0/1, raleigh:FastEthernet0/1>
<dusseldorf:FastEthernet0/0, amsterdam:FastEthernet0/1>
<dusseldorf:FastEthernet0/1, cologne:FastEthernet0/0>
<dusseldorf:FastEthernet1/0, essen:FastEthernet0/1>
<dusseldorf:FastEthernet1/1, neuss:FastEthernet0/0>
<dusseldorf:FastEthernet2/0, wuppertal:FastEthernet0/1>
<eindhoven:FastEthernet0/0, denttbosch:FastEthernet0/1>
<elmira:FastEthernet0/0, corning:FastEthernet0/0>
<elmira:FastEthernet0/1, odessa:FastEthernet0/1>
<empiretttelephonettco:FastEthernet0/0, nodeidgg95:FastEthernet0/1>
<erding:FastEthernet0/0, munich:FastEthernet0/0>
<ernakulam:FastEthernet0/0, kollam:FastEthernet0/0>
<ernakulam:FastEthernet0/1, kottayem:FastEthernet0/1>
<ernakulam:FastEthernet1/0, thiruvalla:FastEthernet0/0>
<erode:FastEthernet0/0, bangalore:FastEthernet0/0>
<erode:FastEthernet0/1, tirupur:FastEthernet0/1>
<essen:FastEthernet0/0, dortmund:FastEthernet0/0>
<essen:FastEthernet0/1, dusseldorf:FastEthernet1/0>
<essen:FastEthernet1/0, hamburg:FastEthernet1/1>
<essexttjunction:FastEthernet0/0, burlington:FastEthernet0/1>
<essexttjunction:FastEthernet0/1, mountpelier:FastEthernet0/1>
<esslingen:FastEthernet0/0, stuttgart:FastEthernet0/1>
<evere:FastEthernet0/0, brussels:FastEthernet1/1>
<fatehpur:FastEthernet0/0, allahabad:FastEthernet0/0>
<fatehpur:FastEthernet0/1, kanpur:FastEthernet0/0>
<fayatteville:FastEthernet0/0, florence:FastEthernet0/0>
<fayatteville:FastEthernet0/1, raleigh:FastEthernet1/0>
<fayatteville:FastEthernet1/0, wilmington:FastEthernet0/0>
<firenze:FastEthernet0/0, bologna:FastEthernet0/0>
<firenze:FastEthernet0/1, genova:FastEthernet0/0>
<firenze:FastEthernet1/0, rome:FastEthernet2/0>
<florence:FastEthernet0/0, fayatteville:FastEthernet0/0>
<florence:FastEthernet0/1, myrtlettbeach:FastEthernet0/1>
<florence:FastEthernet1/0, nodeidgh112:FastEthernet0/0>
<florence:FastEthernet1/1, wilmington:FastEthernet0/1>
<forestttcity:FastEthernet0/0, hancock:FastEthernet1/0>
<forestttcity:FastEthernet0/1, southttcanaan:FastEthernet0/0>
<fortttlauderdale:FastEthernet0/0, hollywood:FastEthernet0/0>
<fortttlauderdale:FastEthernet0/1, miami:FastEthernet0/0>
<fortttlauderdale:FastEthernet1/0, nodeidgh85:FastEthernet0/1>
<fortttlauderdale:FastEthernet1/1, westttpalmttbeach:FastEthernet0/0>
<frankfurt:FastEthernet0/0, cologne:FastEthernet0/1>
<frankfurt:FastEthernet0/1, mannheim:FastEthernet0/0>
<fredonia:FastEthernet0/0, buffalo:FastEthernet0/1>
<fredonia:FastEthernet0/1, cassadaga:FastEthernet0/0>
<ftttmyers:FastEthernet0/0, miami:FastEthernet0/1>
<ftttmyers:FastEthernet0/1, sarasota:FastEthernet0/0>
<gadsden:FastEthernet0/0, anniston:FastEthernet1/0>
<gadsden:FastEthernet0/1, huntsville:FastEthernet0/1>
<gainesville:FastEthernet0/0, lakettcity:FastEthernet0/0>
<gainesville:FastEthernet0/1, ocala:FastEthernet0/0>
<gainesvilleidgh15:FastEthernet0/0, atlanta:FastEthernet1/0>
<gainesvilleidgh15:FastEthernet0/1, nodeidgh97:FastEthernet0/0>
<gandhinagar:FastEthernet0/0, anand:FastEthernet0/1>
<gandhinagar:FastEthernet0/1, himmatnagar:FastEthernet0/1>
<gaya:FastEthernet0/0, hazaribagh:FastEthernet0/1>
<gaya:FastEthernet0/1, patna:FastEthernet0/0>
<geneva:FastEthernet0/0, ovid:FastEthernet0/0>
<geneva:FastEthernet0/1, phelps:FastEthernet0/0>
<geneve:FastEthernet0/0, lyon:FastEthernet0/1>
<geneve:FastEthernet0/1, nyon:FastEthernet0/0>
<genova:FastEthernet0/0, firenze:FastEthernet0/1>
<genova:FastEthernet0/1, milan:FastEthernet2/0>
<germantown:FastEthernet0/0, coxsackie:FastEthernet0/1>
<germantown:FastEthernet0/1, nodeidgg24:FastEthernet0/0>
<ghaziabad:FastEthernet0/0, delhiidhg46:FastEthernet0/0>
<ghaziabad:FastEthernet0/1, meerut:FastEthernet0/0>
<ghent:FastEthernet0/0, brussels:FastEthernet2/0>
<ghent:FastEthernet0/1, lille:FastEthernet0/0>
<ghent:FastEthernet1/0, ostend:FastEthernet0/0>
<gloversville:FastEthernet0/0, albany:FastEthernet0/1>
<gloversville:FastEthernet0/1, nodeidgg111:FastEthernet0/0>
<goa:FastEthernet0/0, hubli:FastEthernet0/1>
<goa:FastEthernet0/1, mangalore:FastEthernet1/1>
<goa:FastEthernet1/0, panjim:FastEthernet0/1>
<godhra:FastEthernet0/0, ahmedabad:FastEthernet0/1>
<godhra:FastEthernet0/1, baroda:FastEthernet0/1>
