<addison:FastEthernet0/0, nodeidh93:FastEthernet0/0>
<binghampton:FastEthernet1/0, norwich:FastEthernet0/0>
<birmingham:FastEthernet0/0, nashville:FastEthernet0/1>
<birmingham:FastEthernet0/1, nodeidg150:FastEthernet0/1>
<bocattraton:FastEthernet0/0, miami:FastEthernet0/0>
<boise:FastEthernet0/0, portland:FastEthernet0/0>
<boise:FastEthernet0/1, saltttlakettcity:FastEthernet0/0>
<bologna:FastEthernet0/0, florence:FastEthernet0/1>
<bologna:FastEthernet0/1, paduadashvenice:FastEthernet0/0>
<boonville:FastEthernet0/0, lowville:FastEthernet0/0>
<boonville:FastEthernet0/1, remsen:FastEthernet0/0>
<bordeaux:FastEthernet0/0, poiters:FastEthernet0/0>
<bordeaux:FastEthernet0/1, santtsebastian:FastEthernet0/1>
<bordeaux:FastEthernet1/0, toulouse:FastEthernet0/0>
<boston:FastEthernet0/0, liverpoolttsouthport:FastEthernet0/0>
<boston:FastEthernet0/1, london:FastEthernet0/0>
<boston:FastEthernet1/0, providence:FastEthernet0/0>
<boston:FastEthernet1/1, worcester:FastEthernet0/1>
<bostonidh7:FastEthernet0/0, brattleboro:FastEthernet1/0>
<bratislava:FastEthernet0/0, brno:FastEthernet0/0>
<bratislava:FastEthernet0/1, bucharest:FastEthernet0/0>
<bratislava:FastEthernet1/0, budapest:FastEthernet0/0>
<bratislava:FastEthernet1/1, kiev:FastEthernet0/0>
<bratislava:FastEthernet2/0, vienna:FastEthernet0/0>
<brattleboro:FastEthernet0/0, bellowsttfalls:FastEthernet0/0>
<brattleboro:FastEthernet0/1, benningtown:FastEthernet0/0>
<brattleboro:FastEthernet1/0, bostonidh7:FastEthernet0/0>
<brattleboro:FastEthernet1/1, keene:FastEthernet0/0>
<brattleboro:FastEthernet2/0, putney:FastEthernet0/0>
<bremen:FastEthernet0/0, hamburg:FastEthernet0/1>
<bremen:FastEthernet0/1, munster:FastEthernet0/0>
<bristol:FastEthernet0/0, burlington:FastEthernet0/0>
<bristol:FastEthernet0/1, middlebury:FastEthernet0/1>
<brno:FastEthernet0/0, bratislava:FastEthernet0/0>
<brno:FastEthernet0/1, krakow:FastEthernet0/0>
<brno:FastEthernet1/0, prague:FastEthernet0/0>
<brussels:FastEthernet0/0, antwerp:FastEthernet0/1>
<brussels:FastEthernet0/1, london:FastEthernet0/1>
<brussels:FastEthernet1/0, paris:FastEthernet0/0>
<bucharest:FastEthernet0/0, bratislava:FastEthernet0/1>
<bucharest:FastEthernet0/1, constanta:FastEthernet0/1>
<bucharest:FastEthernet1/0, galati:FastEthernet0/0>
<bucharest:FastEthernet1/1, nodeidg175:FastEthernet0/0>
<bucharest:FastEthernet2/0, nodeidg176:FastEthernet0/0>
<bucharest:FastEthernet2/1, remsen:FastEthernet0/1>
<budapest:FastEthernet0/0, bratislava:FastEthernet1/0>
<budapest:FastEthernet0/1, timisoara:FastEthernet0/0>
<buffalo:FastEthernet0/0, albany:FastEthernet0/0>
<buffalo:FastEthernet0/1, cleveland:FastEthernet0/0>
<buffalo:FastEthernet1/0, hamilton:FastEthernet0/0>
<buffaloidh67:FastEthernet0/0, barre:FastEthernet0/0>
<buffaloidh67:FastEthernet0/1, fredonia:FastEthernet0/0>
<buffaloidh67:FastEthernet1/0, syracuse:FastEthernet0/1>
<burdett:FastEthernet0/0, nodeidh109:FastEthernet0/0>
<burdett:FastEthernet0/1, odessaidh48:FastEthernet0/0>
<burgas:FastEthernet0/0, kapitanttandreevo:FastEthernet0/0>
<burgas:FastEthernet0/1, varna:FastEthernet0/1>
<burlington:FastEthernet0/0, bristol:FastEthernet0/0>
<burlington:FastEthernet0/1, essexttjunction:FastEthernet0/0>
<burlington:FastEthernet1/0, middlebury:FastEthernet1/0>
<burlington:FastEthernet1/1, nodeidh30:FastEthernet0/0>
<burlington:FastEthernet2/0, rutland:FastEthernet0/0>
<burlington:FastEthernet2/1, winooski:FastEthernet0/0>
<caen:FastEthernet0/0, rennes:FastEthernet0/0>
<caen:FastEthernet0/1, rouen:FastEthernet0/0>
<cambridge:FastEthernet0/0, amsterdam:FastEthernet0/1>
<cambridge:FastEthernet0/1, leeds:FastEthernet0/0>
<canton:FastEthernet0/0, nodeidh89:FastEthernet0/0>
<canton:FastEthernet0/1, potsdam:FastEthernet0/0>
<cassadaga:FastEthernet0/0, fredonia:FastEthernet0/1>
<cassadaga:FastEthernet0/1, nodeidh94:FastEthernet0/0>
<cazenovia:FastEthernet0/0, cortland:FastEthernet0/0>
<cazenovia:FastEthernet0/1, morrisville:FastEthernet0/0>
<champlain:FastEthernet0/0, chazy:FastEthernet0/0>
<champlain:FastEthernet0/1, westport:FastEthernet0/0>
<charlotte:FastEthernet0/0, atlanta:FastEthernet0/0>
<charlotte:FastEthernet0/1, nodeidg148:FastEthernet0/0>
<chazy:FastEthernet0/0, champlain:FastEthernet0/0>
<chazy:FastEthernet0/1, plattsburgh:FastEthernet0/0>
<chesterfield:FastEthernet0/0, plattsburgh:FastEthernet0/1>
<chesterfield:FastEthernet0/1, schroonttlake:FastEthernet0/0>
<chicago:FastEthernet0/0, desttmoines:FastEthernet0/0>
<chicago:FastEthernet0/1, milwaukee:FastEthernet0/0>
<chicago:FastEthernet1/0, southttbend:FastEthernet0/0>
<chicago:FastEthernet1/1, stttlouis:FastEthernet0/0>
<cincinnati:FastEthernet0/0, cleveland:FastEthernet0/1>
<cleveland:FastEthernet0/0, buffalo:FastEthernet0/1>
<cleveland:FastEthernet0/1, cincinnati:FastEthernet0/0>
<cleveland:FastEthernet1/0, columbus:FastEthernet0/0>
<cleveland:FastEthernet1/1, dayton:FastEthernet0/0>
<cleveland:FastEthernet2/0, pittsburgh:FastEthernet0/0>
<cleveland:FastEthernet2/1, toledo:FastEthernet0/0>
<cobleskill:FastEthernet0/0, middleburgh:FastEthernet0/0>
<cobleskill:FastEthernet0/1, oneonta:FastEthernet0/0>
<coimbra:FastEthernet0/0, avila:FastEthernet0/1>
<coimbra:FastEthernet0/1, lisbon:FastEthernet0/1>
<coimbra:FastEthernet1/0, porto:FastEthernet0/0>
<cologne:FastEthernet0/0, dusseldorf:FastEthernet0/1>
<coloradottsprings:FastEthernet0/0, albuquerque:FastEthernet0/0>
<coloradottsprings:FastEthernet0/1, denver:FastEthernet0/0>
<columbus:FastEthernet0/0, cleveland:FastEthernet1/0>
<columbus:FastEthernet0/1, indianapolis:FastEthernet0/0>
<constanta:FastEthernet0/0, balchik:FastEthernet0/0>
<constanta:FastEthernet0/1, bucharest:FastEthernet0/1>
<cooperstown:FastEthernet0/0, hamiltonidh55:FastEthernet0/0>
<cooperstown:FastEthernet0/1, oneonta:FastEthernet0/1>
<copenhagen:FastEthernet0/0, hamburg:FastEthernet1/0>
<copenhagen:FastEthernet0/1, malmo:FastEthernet0/0>
<copenhagen:FastEthernet1/0, oslo:FastEthernet0/0>
<corning:FastEthernet0/0, elmira:FastEthernet0/0>
<corning:FastEthernet0/1, nodeidh93:FastEthernet0/1>
<cortland:FastEthernet0/0, cazenovia:FastEthernet0/0>
<cortland:FastEthernet0/1, dryden:FastEthernet0/1>
<coxsackie:FastEthernet0/0, albanyidh64:FastEthernet0/0>
<coxsackie:FastEthernet0/1, germantown:FastEthernet0/0>
<crownttpoint:FastEthernet0/0, addisonidh108:FastEthernet0/0>
<crownttpoint:FastEthernet0/1, westport:FastEthernet0/1>
<crownttpoint:FastEthernet1/0, whitehall:FastEthernet0/0>
<dallas:FastEthernet0/0, fortttworth:FastEthernet0/0>
<dallas:FastEthernet0/1, houston:FastEthernet0/1>
<dallas:FastEthernet1/0, tulsa:FastEthernet0/0>
<dayton:FastEthernet0/0, cleveland:FastEthernet1/1>
<delhi:FastEthernet0/0, hancock:FastEthernet0/0>
<delhi:FastEthernet0/1, margaretsville:FastEthernet0/0>
<denver:FastEthernet0/0, coloradottsprings:FastEthernet0/1>
<denver:FastEthernet0/1, kansasttcity:FastEthernet0/0>
<denver:FastEthernet1/0, saltttlakettcity:FastEthernet0/1>
<deposit:FastEthernet0/0, binghampton:FastEthernet0/0>
<deposit:FastEthernet0/1, hancock:FastEthernet0/1>
<desttmoines:FastEthernet0/0, chicago:FastEthernet0/0>
<desttmoines:FastEthernet0/1, minneapolis:FastEthernet0/0>
<desttmoines:FastEthernet1/0, omaha:FastEthernet0/0>
<detroit:FastEthernet0/0, toledo:FastEthernet0/1>
<dijon:FastEthernet0/0, lyon:FastEthernet0/0>
<dortmund:FastEthernet0/0, essen:FastEthernet0/0>
<dortmund:FastEthernet0/1, munster:FastEthernet0/1>
<dresden:FastEthernet0/0, berlin:FastEthernet0/0>
<dresden:FastEthernet0/1, nuremberg:FastEthernet0/0>
<dresden:FastEthernet1/0, prague:FastEthernet0/1>
<dryden:FastEthernet0/0, binghampton:FastEthernet0/1>
<dryden:FastEthernet0/1, cortland:FastEthernet0/1>
<dryden:FastEthernet1/0, nodeidh124:FastEthernet0/1>
<dublin:FastEthernet0/0, london:FastEthernet1/0>
<dublin:FastEthernet0/1, manchester:FastEthernet0/0>
<dublin:FastEthernet1/0, nodeidg147:FastEthernet0/0>
<dusseldorf:FastEthernet0/0, amsterdam:FastEthernet1/0>
<dusseldorf:FastEthernet0/1, cologne:FastEthernet0/0>
<dusseldorf:FastEthernet1/0, essen:FastEthernet0/1>
<dusseldorf:FastEthernet1/1, frankfurt:FastEthernet0/0>
<edinburgh:FastEthernet0/0, glasgow:FastEthernet0/0>
<edinburgh:FastEthernet0/1, newcastle:FastEthernet0/0>
<elmira:FastEthernet0/0, corning:FastEthernet0/0>
<elmira:FastEthernet0/1, odessaidh48:FastEthernet0/1>
<elttpaso:FastEthernet0/0, albuquerque:FastEthernet0/1>
<elttpaso:FastEthernet0/1, phoenix:FastEthernet0/0>
<elttpaso:FastEthernet1/0, santtantonio:FastEthernet0/1>
<empiretttelephonettco:FastEthernet0/0, nodeidh95:FastEthernet0/1>
<essen:FastEthernet0/0, dortmund:FastEthernet0/0>
<essen:FastEthernet0/1, dusseldorf:FastEthernet1/0>
<essexttjunction:FastEthernet0/0, burlington:FastEthernet0/1>
<essexttjunction:FastEthernet0/1, mountpelier:FastEthernet0/1>
<florence:FastEthernet0/0, arezzo:FastEthernet0/0>
<florence:FastEthernet0/1, bologna:FastEthernet0/0>
<forestttcity:FastEthernet0/0, hancock:FastEthernet1/0>
<forestttcity:FastEthernet0/1, southttcanaan:FastEthernet0/0>
<fortttworth:FastEthernet0/0, dallas:FastEthernet0/0>
<fortttworth:FastEthernet0/1, oklahomattcity:FastEthernet0/0>
<frankfurt:FastEthernet0/0, dusseldorf:FastEthernet1/1>
<frankfurt:FastEthernet0/1, mainzdashwiesbaden:FastEthernet0/1>
<frankfurt:FastEthernet1/0, mannheim:FastEthernet0/0>
<frankfurt:FastEthernet1/1, philadelphia:FastEthernet0/1>
<frankfurt:FastEthernet2/0, strasbourg:FastEthernet0/0>
<fredonia:FastEthernet0/0, buffaloidh67:FastEthernet0/1>
<fredonia:FastEthernet0/1, cassadaga:FastEthernet0/0>
<galati:FastEthernet0/0, bucharest:FastEthernet1/0>
<galati:FastEthernet0/1, odessa:FastEthernet0/0>
<geneva:FastEthernet0/0, bern:FastEthernet0/1>
<geneva:FastEthernet0/1, grenoble:FastEthernet0/0>
<genevaidh51:FastEthernet0/0, ovid:FastEthernet0/0>
<genevaidh51:FastEthernet0/1, phelps:FastEthernet0/0>
<genoa:FastEthernet0/0, milan:FastEthernet0/0>
<genoa:FastEthernet0/1, nodeidg172:FastEthernet0/0>
<genoa:FastEthernet1/0, rome:FastEthernet0/1>
<germantown:FastEthernet0/0, coxsackie:FastEthernet0/1>
<germantown:FastEthernet0/1, nodeidh24:FastEthernet0/0>
<gijon:FastEthernet0/0, leon:FastEthernet0/0>
<gijon:FastEthernet0/1, santander:FastEthernet0/1>
<glasgow:FastEthernet0/0, edinburgh:FastEthernet0/0>
<glasgow:FastEthernet0/1, manchester:FastEthernet0/1>
<gloversville:FastEthernet0/0, albanyidh64:FastEthernet0/1>
<gloversville:FastEthernet0/1, nodeidh111:FastEthernet0/0>
<gouveneur:FastEthernet0/0, nodeidh89:FastEthernet0/1>
<gouveneur:FastEthernet0/1, watertown:FastEthernet0/1>
<granada:FastEthernet0/0, malaga:FastEthernet0/0>
<granada:FastEthernet0/1, murcia:FastEthernet0/1>
<greensboro:FastEthernet0/0, nodeidg148:FastEthernet0/1>
<greensboro:FastEthernet0/1, raleigh:FastEthernet0/0>
<grenoble:FastEthernet0/0, geneva:FastEthernet0/1>
<grenoble:FastEthernet0/1, lyon:FastEthernet0/1>
<guadalajara:FastEthernet0/0, queretaro:FastEthernet0/0>
<hamburg:FastEthernet0/0, berlin:FastEthernet0/1>
<hamburg:FastEthernet0/1, bremen:FastEthernet0/0>
<hamburg:FastEthernet1/0, copenhagen:FastEthernet0/0>
<hamilton:FastEthernet0/0, buffalo:FastEthernet1/0>
<hamilton:FastEthernet0/1, toronto:FastEthernet0/0>
<hamiltonidh55:FastEthernet0/0, cooperstown:FastEthernet0/0>
<hamiltonidh55:FastEthernet0/1, morrisville:FastEthernet0/1>
<hancock:FastEthernet0/0, delhi:FastEthernet0/0>
<hancock:FastEthernet0/1, deposit:FastEthernet0/1>
<hancock:FastEthernet1/0, forestttcity:FastEthernet0/0>
<harriman:FastEthernet0/0, monroe:FastEthernet0/0>
<harriman:FastEthernet0/1, newttyorkttcity:FastEthernet0/0>
<harriman:FastEthernet1/0, saugerties:FastEthernet0/1>
<harrisburg:FastEthernet0/0, philadelphia:FastEthernet1/0>
<harrisburg:FastEthernet0/1, pittsburgh:FastEthernet0/1>
<harrisburg:FastEthernet1/0, washington:FastEthernet0/1>
<helsinki:FastEthernet0/0, stockholm:FastEthernet0/0>
<helsinki:FastEthernet0/1, tallinn:FastEthernet0/0>
<herkimmer:FastEthernet0/0, nodeidh111:FastEthernet0/1>
<herkimmer:FastEthernet0/1, utica:FastEthernet0/0>
<herndon:FastEthernet0/0, washington:FastEthernet1/0>
<houston:FastEthernet0/0, austin:FastEthernet0/0>
<houston:FastEthernet0/1, dallas:FastEthernet0/1>
<houston:FastEthernet1/0, nodeidg144:FastEthernet0/0>
<indianapolis:FastEthernet0/0, columbus:FastEthernet0/1>
<indianapolis:FastEthernet0/1, louisville:FastEthernet0/0>
<indianapolis:FastEthernet1/0, southttbend:FastEthernet0/1>
<ingleside:FastEthernet0/0, almond:FastEthernet0/1>
<ingleside:FastEthernet0/1, odessaidh48:FastEthernet1/0>
<ithaca:FastEthernet0/0, nodeidh109:FastEthernet0/1>
<ithaca:FastEthernet0/1, nodeidh124:FastEthernet1/0>
<jackson:FastEthernet0/0, memphis:FastEthernet0/0>
<jackson:FastEthernet0/1, newttorleans:FastEthernet0/0>
<jackson:FastEthernet1/0, nodeidg149:FastEthernet0/0>
<jacksonville:FastEthernet0/0, atlanta:FastEthernet0/1>
<jacksonville:FastEthernet0/1, orlando:FastEthernet0/0>
<jamestown:FastEthernet0/0, nodeidh94:FastEthernet0/1>
<kansasttcity:FastEthernet0/0, denver:FastEthernet0/1>
<kansasttcity:FastEthernet0/1, stttlouis:FastEthernet0/1>
<kansasttcity:FastEthernet1/0, tulsa:FastEthernet0/1>
<kapitanttandreevo:FastEthernet0/0, burgas:FastEthernet0/0>
<kapitanttandreevo:FastEthernet0/1, nodeidg175:FastEthernet0/1>
<keene:FastEthernet0/0, brattleboro:FastEthernet1/1>
<kharkiv:FastEthernet0/0, kiev:FastEthernet0/1>
<kiev:FastEthernet0/0, bratislava:FastEthernet1/1>
<kiev:FastEthernet0/1, kharkiv:FastEthernet0/0>
<kiev:FastEthernet1/0, odessa:FastEthernet0/1>
<krakow:FastEthernet0/0, brno:FastEthernet0/1>
<krakow:FastEthernet0/1, warsaw:FastEthernet0/0>
<lakettplacid:FastEthernet0/0, saranacttlake:FastEthernet0/0>
<lakettplacid:FastEthernet0/1, westport:FastEthernet1/0>
<laredo:FastEthernet0/0, mcallen:FastEthernet0/0>
<laredo:FastEthernet0/1, santtantonio:FastEthernet1/0>
<lasttvegas:FastEthernet0/0, losttangeles:FastEthernet0/0>
<lebanon:FastEthernet0/0, whitettriverttjunction:FastEthernet0/1>
<leeds:FastEthernet0/0, cambridge:FastEthernet0/1>
<leeds:FastEthernet0/1, liverpoolttsouthport:FastEthernet0/1>
<leeds:FastEthernet1/0, newcastle:FastEthernet0/1>
<leon:FastEthernet0/0, gijon:FastEthernet0/0>
<leon:FastEthernet0/1, vigo:FastEthernet0/0>
<lille:FastEthernet0/0, london:FastEthernet1/1>
<lille:FastEthernet0/1, paris:FastEthernet0/1>
<lisbon:FastEthernet0/0, badajoz:FastEthernet0/0>
<lisbon:FastEthernet0/1, coimbra:FastEthernet0/1>
<liverpoolttsouthport:FastEthernet0/0, boston:FastEthernet0/0>
<liverpoolttsouthport:FastEthernet0/1, leeds:FastEthernet0/1>
<liverpoolttsouthport:FastEthernet1/0, montreal:FastEthernet0/1>
<ljubljana:FastEthernet0/0, nodeidg174:FastEthernet0/0>
<ljubljana:FastEthernet0/1, zagreb:FastEthernet0/0>
<logrono:FastEthernet0/0, bilbao:FastEthernet0/1>
<logrono:FastEthernet0/1, zaragoza:FastEthernet0/0>
<london:FastEthernet0/0, boston:FastEthernet0/1>
<london:FastEthernet0/1, brussels:FastEthernet0/1>
<london:FastEthernet1/0, dublin:FastEthernet0/0>
<london:FastEthernet1/1, lille:FastEthernet0/0>
<london:FastEthernet2/0, manchester:FastEthernet1/0>
<london:FastEthernet2/1, montreal:FastEthernet1/0>
<london:FastEthernet3/0, newttyork:FastEthernet0/1>
<losttangeles:FastEthernet0/0, lasttvegas:FastEthernet0/0>
<losttangeles:FastEthernet0/1, orangettcounty:FastEthernet0/0>
<losttangeles:FastEthernet1/0, santattclara:FastEthernet0/0>
<louisville:FastEthernet0/0, indianapolis:FastEthernet0/1>
<louisville:FastEthernet0/1, nashville:FastEthernet1/0>
<lowville:FastEthernet0/0, boonville:FastEthernet0/0>
<lowville:FastEthernet0/1, watertown:FastEthernet1/0>
<luxembourg:FastEthernet0/0, mainzdashwiesbaden:FastEthernet1/0>
<luxembourg:FastEthernet0/1, nodeidg173:FastEthernet0/0>
<lyon:FastEthernet0/0, dijon:FastEthernet0/0>
<lyon:FastEthernet0/1, grenoble:FastEthernet0/1>
<lyon:FastEthernet1/0, marseille:FastEthernet0/0>
<lyon:FastEthernet1/1, paris:FastEthernet1/0>
<madrid:FastEthernet0/0, avila:FastEthernet1/0>
<madrid:FastEthernet0/1, valencia:FastEthernet1/0>
<mainzdashwiesbaden:FastEthernet0/0, benningtown:FastEthernet0/1>
<mainzdashwiesbaden:FastEthernet0/1, frankfurt:FastEthernet0/1>
<mainzdashwiesbaden:FastEthernet1/0, luxembourg:FastEthernet0/0>
<malaga:FastEthernet0/0, granada:FastEthernet0/0>
<malaga:FastEthernet0/1, sevilla:FastEthernet0/1>
<malmo:FastEthernet0/0, copenhagen:FastEthernet0/1>
<malmo:FastEthernet0/1, stockholm:FastEthernet0/1>
<malone:FastEthernet0/0, nodeidh91:FastEthernet0/0>
<malone:FastEthernet0/1, plattsburgh:FastEthernet1/0>
<manchester:FastEthernet0/0, dublin:FastEthernet0/1>
<manchester:FastEthernet0/1, glasgow:FastEthernet0/1>
<manchester:FastEthernet1/0, london:FastEthernet2/0>
<manchester:FastEthernet1/1, nodeidg147:FastEthernet0/1>
<manchesteridh99:FastEthernet0/0, benningtown:FastEthernet1/0>
<manchesteridh99:FastEthernet0/1, rutland:FastEthernet0/1>
<mannheim:FastEthernet0/0, frankfurt:FastEthernet1/0>
<mannheim:FastEthernet0/1, stuttgart:FastEthernet0/0>
<margaretsville:FastEthernet0/0, delhi:FastEthernet0/1>
<margaretsville:FastEthernet0/1, middleburgh:FastEthernet0/1>
<marseille:FastEthernet0/0, lyon:FastEthernet1/0>
<marseille:FastEthernet0/1, montpellier:FastEthernet0/0>
<marseille:FastEthernet1/0, sophia:FastEthernet0/0>
<massena:FastEthernet0/0, nodeidh91:FastEthernet0/1>
<massena:FastEthernet0/1, ogdensburg:FastEthernet0/1>
<massena:FastEthernet1/0, potsdam:FastEthernet0/1>
<mcallen:FastEthernet0/0, laredo:FastEthernet0/0>
<mcallen:FastEthernet0/1, monterrey:FastEthernet0/0>
<memphis:FastEthernet0/0, jackson:FastEthernet0/0>
<memphis:FastEthernet0/1, nashville:FastEthernet1/1>
<memphis:FastEthernet1/0, tulsa:FastEthernet1/0>
<mexicottcity:FastEthernet0/0, queretaro:FastEthernet0/1>
<miami:FastEthernet0/0, bocattraton:FastEthernet0/0>
<miami:FastEthernet0/1, orlando:FastEthernet0/1>
<miami:FastEthernet1/0, tampa:FastEthernet0/0>
<middleburgh:FastEthernet0/0, cobleskill:FastEthernet0/0>
<middleburgh:FastEthernet0/1, margaretsville:FastEthernet0/1>
<middleburgh:FastEthernet1/0, nodeidh92:FastEthernet0/0>
<middlebury:FastEthernet0/0, addisonidh108:FastEthernet0/1>
<middlebury:FastEthernet0/1, bristol:FastEthernet0/1>
<middlebury:FastEthernet1/0, burlington:FastEthernet1/0>
<milan:FastEthernet0/0, genoa:FastEthernet0/0>
<milan:FastEthernet0/1, paduadashvenice:FastEthernet0/1>
<milan:FastEthernet1/0, zurich:FastEthernet0/1>
<millerton:FastEthernet0/0, nodeidh123:FastEthernet0/0>
<milwaukee:FastEthernet0/0, chicago:FastEthernet0/1>
<milwaukee:FastEthernet0/1, minneapolis:FastEthernet0/1>
<minneapolis:FastEthernet0/0, desttmoines:FastEthernet0/1>
<minneapolis:FastEthernet0/1, milwaukee:FastEthernet0/1>
<monroe:FastEthernet0/0, harriman:FastEthernet0/0>
<monroe:FastEthernet0/1, portttjervis:FastEthernet0/0>
<monterrey:FastEthernet0/0, mcallen:FastEthernet0/1>
<monterrey:FastEthernet0/1, queretaro:FastEthernet1/0>
<montpellier:FastEthernet0/0, marseille:FastEthernet0/1>
<montpellier:FastEthernet0/1, nodeidg171:FastEthernet0/1>
<montreal:FastEthernet0/0, albany:FastEthernet0/1>
<montreal:FastEthernet0/1, liverpoolttsouthport:FastEthernet1/0>
<montreal:FastEthernet1/0, london:FastEthernet2/1>
<montreal:FastEthernet1/1, toronto:FastEthernet0/1>
<morrisville:FastEthernet0/0, cazenovia:FastEthernet0/1>
<morrisville:FastEthernet0/1, hamiltonidh55:FastEthernet0/1>
<mountpelier:FastEthernet0/0, barreidh104:FastEthernet0/0>
<mountpelier:FastEthernet0/1, essexttjunction:FastEthernet0/1>
<mountpelier:FastEthernet1/0, whitettriverttjunction:FastEthernet1/0>
<munich:FastEthernet0/0, nuremberg:FastEthernet0/1>
<munich:FastEthernet0/1, stuttgart:FastEthernet0/1>
<munich:FastEthernet1/0, vienna:FastEthernet0/1>
<munster:FastEthernet0/0, bremen:FastEthernet0/1>
<munster:FastEthernet0/1, dortmund:FastEthernet0/1>
<murcia:FastEthernet0/0, alicante:FastEthernet0/0>
<murcia:FastEthernet0/1, granada:FastEthernet0/1>
<nantes:FastEthernet0/0, poiters:FastEthernet0/1>
<nantes:FastEthernet0/1, rennes:FastEthernet0/1>
<nashville:FastEthernet0/0, atlanta:FastEthernet1/0>
<nashville:FastEthernet0/1, birmingham:FastEthernet0/0>
<nashville:FastEthernet1/0, louisville:FastEthernet0/1>
